<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
USDRUB;0;20100122;011155;29.75650;0
USDRUB;0;20100122;011225;29.75850;0
USDRUB;0;20100122;011255;29.75750;0
USDRUB;0;20100122;011325;29.75650;0
USDRUB;0;20100122;011410;29.75550;0
USDRUB;0;20100122;011455;29.75650;0
USDRUB;0;20100122;011526;29.75450;0
USDRUB;0;20100122;011556;29.75350;0
USDRUB;0;20100122;011623;29.75450;0
USDRUB;0;20100122;011658;29.75050;0
USDRUB;0;20100122;011726;29.74950;0
USDRUB;0;20100122;011740;29.74850;0
USDRUB;0;20100122;011754;29.75500;0
USDRUB;0;20100122;011755;29.74950;0
USDRUB;0;20100122;011804;29.75500;0
USDRUB;0;20100122;011825;29.75050;0
USDRUB;0;20100122;011841;29.75250;0
USDRUB;0;20100122;011846;29.75500;0
USDRUB;0;20100122;011912;29.75050;0
USDRUB;0;20100122;011925;29.75250;0
USDRUB;0;20100122;011956;29.74850;0
USDRUB;0;20100122;012000;29.75900;0
USDRUB;0;20100122;012025;29.74950;0
USDRUB;0;20100122;012055;29.75050;0
USDRUB;0;20100122;012125;29.75250;0
USDRUB;0;20100122;012224;29.75350;0
USDRUB;0;20100122;012255;29.75250;0
USDRUB;0;20100122;012341;29.75650;0
USDRUB;0;20100122;012431;29.75550;0
USDRUB;0;20100122;012446;29.75650;0
USDRUB;0;20100122;012505;29.75450;0
USDRUB;0;20100122;012535;29.75550;0
USDRUB;0;20100122;012548;29.75650;0
USDRUB;0;20100122;012600;29.75750;0
USDRUB;0;20100122;012633;29.75450;0
USDRUB;0;20100122;012701;29.75650;0
USDRUB;0;20100122;012719;29.75550;0
USDRUB;0;20100122;012801;29.75450;0
USDRUB;0;20100122;012816;29.75550;0
USDRUB;0;20100122;012846;29.75350;0
USDRUB;0;20100122;012901;29.75550;0
USDRUB;0;20100122;012916;29.75350;0
USDRUB;0;20100122;012947;29.75450;0
USDRUB;0;20100122;013001;29.76500;0
USDRUB;0;20100122;013002;29.75550;0
USDRUB;0;20100122;013032;29.75650;0
USDRUB;0;20100122;013053;29.75450;0
USDRUB;0;20100122;013118;29.75750;0
USDRUB;0;20100122;013133;29.75650;0
USDRUB;0;20100122;013201;29.76150;0
USDRUB;0;20100122;013247;29.76250;0
USDRUB;0;20100122;013316;29.75950;0
USDRUB;0;20100122;013401;29.75850;0
USDRUB;0;20100122;013434;29.75950;0
USDRUB;0;20100122;013446;29.76250;0
USDRUB;0;20100122;013519;29.76150;0
USDRUB;0;20100122;013547;29.75950;0
USDRUB;0;20100122;013616;29.75850;0
USDRUB;0;20100122;013647;29.75650;0
USDRUB;0;20100122;013716;29.75350;0
USDRUB;0;20100122;013748;29.75450;0
USDRUB;0;20100122;013837;29.75750;0
USDRUB;0;20100122;013847;29.75450;0
USDRUB;0;20100122;013934;29.75650;0
USDRUB;0;20100122;013952;29.75750;0
USDRUB;0;20100122;014000;29.76500;0
USDRUB;0;20100122;014015;29.75950;0
USDRUB;0;20100122;014100;29.75850;0
USDRUB;0;20100122;014116;29.76150;0
USDRUB;0;20100122;014146;29.75750;0
USDRUB;0;20100122;014201;29.76150;0
USDRUB;0;20100122;014233;29.76450;0
USDRUB;0;20100122;014300;29.75950;0
USDRUB;0;20100122;014333;29.76350;0
USDRUB;0;20100122;014402;29.75950;0
USDRUB;0;20100122;014448;29.76150;0
USDRUB;0;20100122;014504;29.75950;0
USDRUB;0;20100122;014513;29.75750;0
USDRUB;0;20100122;014602;29.75650;0
