<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20010730;000000;125.00000
USDJPY;D;20010731;000000;124.98000
USDJPY;D;20010801;000000;124.45000
USDJPY;D;20010802;000000;123.60000
USDJPY;D;20010803;000000;123.89000
USDJPY;D;20010806;000000;123.79000
USDJPY;D;20010807;000000;123.45000
USDJPY;D;20010808;000000;123.58000
USDJPY;D;20010809;000000;121.83000
USDJPY;D;20010810;000000;122.62000
USDJPY;D;20010813;000000;122.53000
USDJPY;D;20010814;000000;121.74000
USDJPY;D;20010815;000000;119.41000
USDJPY;D;20010816;000000;119.89000
USDJPY;D;20010817;000000;120.16000
USDJPY;D;20010818;000000;120.19000
USDJPY;D;20010819;000000;120.29000
USDJPY;D;20010820;000000;120.66000
USDJPY;D;20010821;000000;119.52000
USDJPY;D;20010822;000000;119.63000
USDJPY;D;20010823;000000;119.89000
USDJPY;D;20010824;000000;120.08000
USDJPY;D;20010825;000000;120.09000
USDJPY;D;20010827;000000;119.96000
USDJPY;D;20010828;000000;120.13000
USDJPY;D;20010829;000000;120.15000
USDJPY;D;20010830;000000;119.41000
USDJPY;D;20010831;000000;118.78000
USDJPY;D;20010901;000000;118.84000
USDJPY;D;20010903;000000;118.74000
USDJPY;D;20010904;000000;119.18000
USDJPY;D;20010905;000000;120.65000
USDJPY;D;20010906;000000;121.00000
USDJPY;D;20010907;000000;120.10000
USDJPY;D;20010908;000000;120.01000
USDJPY;D;20010909;000000;120.11000
USDJPY;D;20010910;000000;121.15000
USDJPY;D;20010911;000000;119.51000
USDJPY;D;20010912;000000;119.40000
USDJPY;D;20010913;000000;118.84000
USDJPY;D;20010914;000000;117.32000
USDJPY;D;20010915;000000;117.30000
USDJPY;D;20010916;000000;117.40000
USDJPY;D;20010917;000000;117.66000
USDJPY;D;20010918;000000;117.19000
USDJPY;D;20010919;000000;117.57000
USDJPY;D;20010920;000000;116.23000
USDJPY;D;20010921;000000;116.66000
USDJPY;D;20010922;000000;116.70000
USDJPY;D;20010924;000000;117.60000
USDJPY;D;20010925;000000;117.58000
USDJPY;D;20010926;000000;117.72000
USDJPY;D;20010927;000000;119.58000
USDJPY;D;20010928;000000;119.54000
USDJPY;D;20010929;000000;119.58000
USDJPY;D;20011001;000000;120.19000
USDJPY;D;20011002;000000;120.83000
USDJPY;D;20011003;000000;120.68000
USDJPY;D;20011004;000000;120.50000
USDJPY;D;20011005;000000;120.41000
USDJPY;D;20011006;000000;120.47000
USDJPY;D;20011008;000000;119.86000
USDJPY;D;20011009;000000;120.22000
USDJPY;D;20011010;000000;120.44000
USDJPY;D;20011011;000000;121.56000
USDJPY;D;20011012;000000;121.30000
USDJPY;D;20011013;000000;121.13000
USDJPY;D;20011015;000000;120.91000
USDJPY;D;20011016;000000;121.21000
USDJPY;D;20011017;000000;121.19000
USDJPY;D;20011018;000000;121.21000
USDJPY;D;20011019;000000;121.11000
USDJPY;D;20011020;000000;121.27000
USDJPY;D;20011022;000000;122.57000
USDJPY;D;20011023;000000;122.66000
USDJPY;D;20011024;000000;122.84000
USDJPY;D;20011025;000000;122.99000
USDJPY;D;20011026;000000;122.70000
USDJPY;D;20011027;000000;122.65000
USDJPY;D;20011029;000000;121.96000
USDJPY;D;20011030;000000;121.96000
USDJPY;D;20011031;000000;122.54000
USDJPY;D;20011101;000000;121.97000
USDJPY;D;20011102;000000;121.62000
USDJPY;D;20011103;000000;121.62000
USDJPY;D;20011105;000000;121.74000
USDJPY;D;20011106;000000;121.17000
USDJPY;D;20011107;000000;120.97000
USDJPY;D;20011108;000000;120.13000
USDJPY;D;20011109;000000;120.29000
USDJPY;D;20011110;000000;120.43000
USDJPY;D;20011111;000000;120.43000
USDJPY;D;20011112;000000;120.38000
USDJPY;D;20011113;000000;121.68000
USDJPY;D;20011114;000000;121.61000
USDJPY;D;20011115;000000;122.40000
USDJPY;D;20011116;000000;122.91000
USDJPY;D;20011117;000000;122.99000
USDJPY;D;20011119;000000;123.29000
USDJPY;D;20011120;000000;122.61000
