<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110120;210000;11809.70000;11822.42000;11790.71000;11822.38000;0
DJIA;60;20110120;220000;11822.19000;11845.16000;11813.71000;11831.20000;0
DJIA;60;20110120;230000;11831.12000;11831.16000;11798.99000;11823.97000;0
DJIA;60;20110121;000000;11824.69000;11825.22000;11822.87000;11822.87000;0
DJIA;60;20110121;170000;11824.61000;11901.70000;11824.61000;11900.22000;0
DJIA;60;20110121;180000;11900.56000;11905.48000;11866.58000;11876.15000;0
DJIA;60;20110121;190000;11875.93000;11884.70000;11851.59000;11868.02000;0
DJIA;60;20110121;200000;11867.94000;11884.06000;11855.11000;11859.77000;0
DJIA;60;20110121;210000;11860.11000;11880.58000;11850.23000;11877.59000;0
DJIA;60;20110121;220000;11877.93000;11887.13000;11871.35000;11876.04000;0
DJIA;60;20110121;230000;11875.96000;11888.49000;11860.56000;11873.20000;0
DJIA;60;20110122;000000;11872.82000;11872.97000;11871.76000;11871.84000;0
DJIA;60;20110124;170000;11874.03000;11913.50000;11867.98000;11898.86000;0
DJIA;60;20110124;180000;11898.55000;11931.97000;11892.84000;11930.34000;0
DJIA;60;20110124;190000;11928.37000;11955.85000;11926.41000;11951.61000;0
DJIA;60;20110124;200000;11951.68000;11968.30000;11951.65000;11954.52000;0
DJIA;60;20110124;210000;11954.30000;11980.29000;11951.34000;11970.64000;0
DJIA;60;20110124;220000;11970.42000;11982.94000;11956.45000;11959.10000;0
DJIA;60;20110124;230000;11958.80000;11980.07000;11946.31000;11979.08000;0
DJIA;60;20110125;000000;11979.91000;11980.52000;11979.61000;11980.52000;0
DJIA;60;20110125;170000;11980.90000;11980.90000;11939.76000;11963.79000;0
DJIA;60;20110125;180000;11971.06000;11985.97000;11936.89000;11954.67000;0
DJIA;60;20110125;190000;11954.75000;11955.62000;11909.07000;11921.45000;0
DJIA;60;20110125;200000;11921.15000;11957.74000;11921.07000;11951.19000;0
DJIA;60;20110125;210000;11951.23000;11953.95000;11928.41000;11941.28000;0
DJIA;60;20110125;220000;11940.86000;11940.86000;11898.74000;11914.22000;0
DJIA;60;20110125;230000;11916.26000;11979.76000;11915.58000;11977.42000;0
DJIA;60;20110126;000000;11976.89000;11977.19000;11976.51000;11977.19000;0
DJIA;60;20110126;170000;11978.85000;11987.56000;11961.83000;11983.36000;0
DJIA;60;20110126;180000;11983.89000;12020.52000;11978.44000;11990.74000;0
DJIA;60;20110126;190000;11991.34000;11996.34000;11966.52000;11979.20000;0
DJIA;60;20110126;200000;11979.42000;12002.35000;11975.87000;12000.54000;0
DJIA;60;20110126;210000;12000.58000;12011.25000;11994.56000;12005.61000;0
DJIA;60;20110126;220000;12004.51000;12019.65000;11978.82000;12007.95000;0
DJIA;60;20110126;230000;12007.88000;12014.50000;11985.67000;11985.67000;0
DJIA;60;20110127;000000;11985.36000;11985.97000;11984.53000;11985.44000;0
DJIA;60;20110127;170000;11985.36000;12003.98000;11972.42000;12002.62000;0
DJIA;60;20110127;180000;12001.86000;12019.53000;11982.79000;12006.74000;0
DJIA;60;20110127;190000;12006.90000;12008.03000;11971.93000;11985.89000;0
DJIA;60;20110127;200000;11986.04000;12005.72000;11985.89000;12002.17000;0
DJIA;60;20110127;210000;12002.13000;12003.79000;11988.66000;11996.38000;0
DJIA;60;20110127;220000;11996.53000;12001.90000;11979.91000;11998.61000;0
DJIA;60;20110127;230000;11998.84000;12010.30000;11979.27000;11990.43000;0
DJIA;60;20110128;000000;11989.68000;11989.90000;11989.00000;11989.83000;0
DJIA;60;20110128;170000;11990.36000;12012.04000;11988.69000;11989.03000;0
DJIA;60;20110128;180000;11988.77000;11989.90000;11914.30000;11919.44000;0
DJIA;60;20110128;190000;11917.40000;11930.34000;11847.39000;11854.24000;0
DJIA;60;20110128;200000;11853.56000;11863.93000;11812.96000;11852.01000;0
DJIA;60;20110128;210000;11852.35000;11852.92000;11811.94000;11850.61000;0
DJIA;60;20110128;220000;11850.87000;11855.34000;11823.02000;11838.99000;0
DJIA;60;20110128;230000;11839.14000;11842.93000;11803.04000;11824.61000;0
DJIA;60;20110129;000000;11825.29000;11825.29000;11823.70000;11823.70000;0
DJIA;60;20110131;170000;11824.23000;11869.57000;11819.77000;11827.64000;0
DJIA;60;20110131;180000;11825.82000;11857.42000;11820.83000;11853.90000;0
DJIA;60;20110131;190000;11854.36000;11863.89000;11845.46000;11853.14000;0
DJIA;60;20110131;200000;11853.03000;11888.26000;11852.46000;11875.89000;0
DJIA;60;20110131;210000;11876.04000;11883.49000;11862.98000;11868.24000;0
DJIA;60;20110131;220000;11868.17000;11872.97000;11839.71000;11854.28000;0
DJIA;60;20110131;230000;11854.51000;11890.65000;11853.52000;11889.59000;0
